Month,Day,measurement,reading
5,1,Ozone,41
5,2,Ozone,36
5,3,Ozone,12
5,4,Ozone,18
5,5,Ozone,NaN
5,6,Ozone,28
5,7,Ozone,23
5,8,Ozone,19
5,9,Ozone,8
5,10,Ozone,NaN
5,11,Ozone,7
5,12,Ozone,16
5,13,Ozone,11
5,14,Ozone,14
5,15,Ozone,18
5,16,Ozone,14
5,17,Ozone,34
5,18,Ozone,6
5,19,Ozone,30
5,20,Ozone,11
5,21,Ozone,1
5,22,Ozone,11
5,23,Ozone,4
5,24,Ozone,32
5,25,Ozone,NaN
5,26,Ozone,NaN
5,27,Ozone,NaN
5,28,Ozone,23
5,29,Ozone,45
5,30,Ozone,115
5,31,Ozone,37
6,1,Ozone,NaN
6,2,Ozone,NaN
6,3,Ozone,NaN
6,4,Ozone,NaN
6,5,Ozone,NaN
6,6,Ozone,NaN
6,7,Ozone,29
6,8,Ozone,NaN
6,9,Ozone,71
6,10,Ozone,39
6,11,Ozone,NaN
6,12,Ozone,NaN
6,13,Ozone,23
6,14,Ozone,NaN
6,15,Ozone,NaN
6,16,Ozone,21
6,17,Ozone,37
6,18,Ozone,20
6,19,Ozone,12
6,20,Ozone,13
6,21,Ozone,NaN
6,22,Ozone,NaN
6,23,Ozone,NaN
6,24,Ozone,NaN
6,25,Ozone,NaN
6,26,Ozone,NaN
6,27,Ozone,NaN
6,28,Ozone,NaN
6,29,Ozone,NaN
6,30,Ozone,NaN
7,1,Ozone,135
7,2,Ozone,49
7,3,Ozone,32
7,4,Ozone,NaN
7,5,Ozone,64
7,6,Ozone,40
7,7,Ozone,77
7,8,Ozone,97
7,9,Ozone,97
7,10,Ozone,85
7,11,Ozone,NaN
7,12,Ozone,10
7,13,Ozone,27
7,14,Ozone,NaN
7,15,Ozone,7
7,16,Ozone,48
7,17,Ozone,35
7,18,Ozone,61
7,19,Ozone,79
7,20,Ozone,63
7,21,Ozone,16
7,22,Ozone,NaN
7,23,Ozone,NaN
7,24,Ozone,80
7,25,Ozone,108
7,26,Ozone,20
7,27,Ozone,52
