year,artist,track,time,date.entered,week,rank
2000,2Ge+her,The Hardest Part Of ...,3:15,9/2/2000,wk1,91
2000,2 Pac,Baby Don't Cry,4:22,2/26/2000,wk1,87
2000,3 Doors Down,Kryptonite,3:53,4/8/2000,wk1,81
2000,3 Doors Down,Loser,4:24,10/21/2000,wk1,76
2000,504 Boyz,Wobble Wobble,3:35,4/15/2000,wk1,57
2000,98?,Give Me Just One Nig...,3:24,8/19/2000,wk1,51
2000,Aaliyah,I Don't Wanna,4:15,1/29/2000,wk1,84
2000,Aaliyah,Try Again,4:03,3/18/2000,wk1,59
2000,"Adams, Yolanda",Open My Heart,5:30,8/26/2000,wk1,76
2000,"Adkins, Trace",More,3:05,4/29/2000,wk1,84
2000,"Aguilera, Christina",Come On Over Baby,3:38,8/5/2000,wk1,57
2000,"Aguilera, Christina",I Turn To You,4:00,4/15/2000,wk1,50
2000,"Aguilera, Christina",What A Girl Wants,3:18,11/27/1999,wk1,71
2000,Alice Deejay,Better Off Alone,6:50,4/8/2000,wk1,79
2000,"Allan, Gary",Smoke Rings In The D...,4:18,1/22/2000,wk1,80
2000,Amber,Sexual,4:38,7/17/1999,wk1,99
2000,Anastacia,I'm Outta Love,4:01,4/1/2000,wk1,92
2000,"Anthony, Marc",My Baby You,3:59,9/16/2000,wk1,82
2000,"Anthony, Marc",You Sang To Me,3:50,2/26/2000,wk1,77
2000,A*Teens,Dancing Queen,3:44,7/8/2000,wk1,97
2000,Avant,My First Love,4:28,11/4/2000,wk1,70
2000,Avant,Separated,4:13,4/29/2000,wk1,62
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,10/14/2000,wk1,39
2000,"Backstreet Boys, The",Show Me The Meaning ...,3:54,1/1/2000,wk1,74
2000,"Backstreet Boys, The",The One,3:46,5/27/2000,wk1,58
2000,"Badu, Erkyah",Bag Lady,5:03,8/19/2000,wk1,67
2000,Baha Men,Who Let The Dogs Out,3:17,7/22/2000,wk1,99
2000,Barenaked Ladies,Pinch Me,3:46,9/9/2000,wk1,77
2000,BBMak,Back Here,3:35,4/29/2000,wk1,99
2000,Beenie Man,Girls Dem Sugar,4:17,10/21/2000,wk1,72
2000,Before Dark,Monica,4:04,5/20/2000,wk1,95
2000,"Bega, Lou",Tricky Tricky,3:23,1/29/2000,wk1,75
2000,Big Punisher,It's So Hard,3:25,4/22/2000,wk1,96
2000,"Black, Clint",Been There,5:28,2/19/2000,wk1,87
2000,Black Rob,Whoa!,4:04,3/4/2000,wk1,78
2000,Blaque,Bring It All To Me,3:46,10/23/1999,wk1,73
2000,"Blige, Mary J.",Deep Inside,5:26,11/13/1999,wk1,83
2000,"Blige, Mary J.",Give Me You,5:00,4/15/2000,wk1,97
2000,Blink-182,All The Small Things,2:52,12/4/1999,wk1,89
2000,Bloodhound Gang,The Bad Touch,4:20,3/18/2000,wk1,70
2000,Bon Jovi,It's My Life,3:44,8/12/2000,wk1,64
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,3/18/2000,wk1,63
2000,"Braxton, Toni",Just Be A Man About ...,4:10,7/29/2000,wk1,76
2000,"Braxton, Toni",Spanish Guitar,4:24,12/2/2000,wk1,98
2000,"Brock, Chad",A Country Boy Can Su...,3:54,1/1/2000,wk1,93
2000,"Brock, Chad",Yes!,3:22,4/8/2000,wk1,90
2000,Brooks & Dunn,You'll Always Be Lov...,2:58,6/10/2000,wk1,95
2000,"Brooks, Garth",Do What You Gotta Do,2:56,2/19/2000,wk1,86
2000,"Byrd, Tracy",Put Your Hand In Min...,4:30,1/29/2000,wk1,81
2000,"Cagle, Chris",My Love Goes On And ...,3:02,10/21/2000,wk1,99
2000,Cam'ron,What Means The World...,4:38,10/14/2000,wk1,94
2000,"Carey, Mariah",Crybaby,5:19,6/24/2000,wk1,28
2000,"Carey, Mariah",Thank God I Found Yo...,4:14,12/11/1999,wk1,82
2000,"Carter, Aaron",Aaron's Party,3:23,8/26/2000,wk1,99
2000,"Carter, Torrey",Take That,3:43,6/24/2000,wk1,94
2000,Changing Faces,That Other Woman,4:00,9/30/2000,wk1,80
2000,"Chesney, Kenny",I Lost It,3:54,10/21/2000,wk1,75
2000,"Chesney, Kenny",What I Need To Do,4:05,4/1/2000,wk1,79
2000,Clark Family Experience,Meanwhile Back At Th...,2:56,11/18/2000,wk1,87
2000,"Clark, Terri",A Little Gasoline,3:07,12/16/2000,wk1,75
2000,Common,The Light,3:55,8/5/2000,wk1,75
2000,Counting Crows,Hanginaround,4:07,11/6/1999,wk1,84
2000,Creed,Higher,5:16,9/11/1999,wk1,81
2000,Creed,With Arms Wide Open,3:52,5/13/2000,wk1,84
2000,"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,9/23/2000,wk1,97
2000,Da Brat,That's What I'm Look...,3:44,2/26/2000,wk1,93
2000,Da Brat,What'Chu Like,3:57,6/3/2000,wk1,71
2000,D'Angelo,Left & Right,4:35,12/11/1999,wk1,93
2000,D'Angelo,Untitled,7:10,1/22/2000,wk1,77
2000,"Davidson, Clay",Unconditional,3:56,3/25/2000,wk1,97
2000,De La Soul,All Good?,5:02,12/23/2000,wk1,96
2000,Destiny's Child,Independent Women Pa...,3:38,9/23/2000,wk1,78
2000,Destiny's Child,Jumpin' Jumpin',3:48,5/13/2000,wk1,74
2000,Destiny's Child,Say My Name,4:31,12/25/1999,wk1,83
