Date,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
1/5/2015,289,2776,NaN,10030,NaN,NaN,NaN,NaN,NaN,1786,NaN,2977,NaN,NaN,NaN,NaN,NaN
1/4/2015,288,2775,NaN,9780,NaN,NaN,NaN,NaN,NaN,1781,NaN,2943,NaN,NaN,NaN,NaN,NaN
1/3/2015,287,2769,8166,9722,NaN,NaN,NaN,NaN,NaN,1767,3496,2915,NaN,NaN,NaN,NaN,NaN
1/2/2015,286,NaN,8157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3496,NaN,NaN,NaN,NaN,NaN,NaN
12/31/2014,284,2730,8115,9633,NaN,NaN,NaN,NaN,NaN,1739,3471,2827,NaN,NaN,NaN,NaN,NaN
12/28/2014,281,2706,8018,9446,NaN,NaN,NaN,NaN,NaN,1708,3423,2758,NaN,NaN,NaN,NaN,NaN
12/27/2014,280,2695,NaN,9409,NaN,NaN,NaN,NaN,NaN,1697,NaN,2732,NaN,NaN,NaN,NaN,NaN
12/24/2014,277,2630,7977,9203,NaN,NaN,NaN,NaN,NaN,NaN,3413,2655,NaN,NaN,NaN,NaN,NaN
12/21/2014,273,2597,NaN,9004,NaN,NaN,NaN,NaN,NaN,1607,NaN,2582,NaN,NaN,NaN,NaN,NaN
12/20/2014,272,2571,7862,8939,NaN,NaN,NaN,NaN,NaN,1586,3384,2556,NaN,NaN,NaN,NaN,NaN
12/18/2014,271,NaN,7830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3376,NaN,NaN,NaN,NaN,NaN,NaN
12/14/2014,267,2416,NaN,8356,NaN,NaN,NaN,NaN,NaN,1525,NaN,2085,NaN,NaN,NaN,NaN,NaN
12/9/2014,262,NaN,7797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3290,NaN,NaN,NaN,NaN,NaN,NaN
12/7/2014,260,2292,NaN,7897,20,1,4,1,7,1428,NaN,1768,8,0,1,0,6
12/3/2014,256,NaN,7719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3177,NaN,NaN,NaN,NaN,NaN,NaN
11/30/2014,253,2164,NaN,7312,20,1,4,1,7,1327,NaN,1583,8,0,1,0,6
11/28/2014,251,NaN,7635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3145,NaN,NaN,NaN,NaN,NaN,NaN
11/23/2014,246,2134,NaN,6599,20,1,4,1,7,1260,NaN,1398,8,0,1,0,6
11/22/2014,245,NaN,7168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3016,NaN,NaN,NaN,NaN,NaN,NaN
11/18/2014,241,2047,7082,6190,20,1,4,1,6,1214,2963,1267,8,0,1,0,6
11/16/2014,239,1971,NaN,6073,20,1,4,1,5,1192,NaN,1250,8,0,1,0,5
11/15/2014,238,NaN,7069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2964,NaN,NaN,NaN,NaN,NaN,NaN
11/11/2014,234,1919,NaN,5586,20,1,4,1,4,1166,NaN,1187,8,0,1,0,3
11/10/2014,233,NaN,6878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2812,NaN,NaN,NaN,NaN,NaN,NaN
11/9/2014,232,1878,NaN,5368,20,1,4,1,1,1142,NaN,1169,8,0,1,0,1
11/8/2014,231,NaN,6822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2836,NaN,NaN,NaN,NaN,NaN,NaN
11/4/2014,227,NaN,6619,4862,20,1,4,1,1,NaN,2766,1130,8,0,1,0,1
11/3/2014,226,1760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1054,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/2/2014,225,1731,NaN,4759,20,1,4,1,1,1041,NaN,1070,8,0,1,0,1
10/31/2014,222,NaN,6525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2697,NaN,NaN,NaN,NaN,NaN,NaN
10/29/2014,220,1667,NaN,5338,20,1,4,1,1,1018,NaN,1510,8,0,1,0,1
10/27/2014,218,1906,NaN,5235,20,1,4,1,1,997,NaN,1500,8,0,1,0,1
10/25/2014,216,NaN,6535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2413,NaN,NaN,NaN,NaN,NaN,NaN
10/22/2014,214,NaN,NaN,3896,NaN,NaN,4,1,1,NaN,NaN,1281,NaN,NaN,1,0,1
10/21/2014,213,1553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,926,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/19/2014,211,1540,NaN,3706,20,1,3,1,NaN,904,NaN,1259,8,0,1,0,NaN
10/18/2014,210,NaN,4665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2705,NaN,NaN,NaN,NaN,NaN,NaN
10/14/2014,206,1519,NaN,3410,20,1,3,1,NaN,862,NaN,1200,8,0,0,1,NaN
10/13/2014,205,NaN,4262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2484,NaN,NaN,NaN,NaN,NaN,NaN
10/12/2014,204,1472,NaN,3252,20,1,2,1,NaN,843,NaN,1183,8,0,1,1,NaN
10/11/2014,203,NaN,4249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2458,NaN,NaN,NaN,NaN,NaN,NaN
10/8/2014,200,NaN,NaN,2950,20,1,1,1,NaN,NaN,NaN,930,8,0,1,1,NaN
