Area,Month,Year,Labor Force,Employed,Unemployed,Area Rate ,Massachusetts Rate 
Barnstable County,December,2018,"112,449","107,669","4,780",4.3,2.7
Barnstable County,November,2018,"112,150","108,171","3,979",3.5,2.6
Barnstable County,October,2018,"115,665","112,127","3,538",3.1,2.9
Barnstable County,September,2018,"119,420","115,757","3,663",3.1,3.2
Barnstable County,August,2018,"129,627","125,636","3,991",3.1,3.5
Barnstable County,July,2018,"131,087","126,628","4,459",3.4,3.9
Barnstable County,June,2018,"124,401","119,744","4,657",3.7,3.9
Barnstable County,May,2018,"116,265","111,701","4,564",3.9,3.3
Barnstable County,April,2018,"110,839","105,688","5,151",4.6,3.3
Barnstable County,March,2018,"108,760","101,781","6,979",6.4,3.8
Barnstable County,February,2018,"107,573","99,898","7,675",7.1,4
Barnstable County,January,2018,"107,698","100,330","7,368",6.8,4
Barnstable County,December,2017,"107,563","102,507","5,056",4.7,3.1
Berkshire County,December,2018,"66,571","64,139","2,432",3.7,2.7
Berkshire County,November,2018,"65,712","63,616","2,096",3.2,2.6
Berkshire County,October,2018,"66,167","64,031","2,136",3.2,2.9
Berkshire County,September,2018,"66,366","64,053","2,313",3.5,3.2
Berkshire County,August,2018,"68,406","65,884","2,522",3.7,3.5
Berkshire County,July,2018,"69,949","67,092","2,857",4.1,3.9
Berkshire County,June,2018,"68,400","65,463","2,937",4.3,3.9
Berkshire County,May,2018,"65,745","63,072","2,673",4.1,3.3
Berkshire County,April,2018,"64,426","61,631","2,795",4.3,3.3
Berkshire County,March,2018,"64,510","61,215","3,295",5.1,3.8
Berkshire County,February,2018,"64,485","61,072","3,413",5.3,4
Berkshire County,January,2018,"64,373","61,070","3,303",5.1,4
Berkshire County,December,2017,"64,579","62,125","2,454",3.8,3.1
Bristol County,December,2018,"304,341","294,085","10,256",3.4,2.7
Bristol County,November,2018,"303,750","294,269","9,481",3.1,2.6
Bristol County,October,2018,"304,076","293,509","10,567",3.5,2.9
Bristol County,September,2018,"303,265","291,641","11,624",3.8,3.2
Bristol County,August,2018,"305,928","292,397","13,531",4.4,3.5
Bristol County,July,2018,"308,011","293,140","14,871",4.8,3.9
Bristol County,June,2018,"306,183","291,876","14,307",4.7,3.9
Bristol County,May,2018,"302,013","289,506","12,507",4.1,3.3
Bristol County,April,2018,"299,694","287,007","12,687",4.2,3.3
Bristol County,March,2018,"299,922","284,331","15,591",5.2,3.8
Bristol County,February,2018,"297,971","281,284","16,687",5.6,4
Bristol County,January,2018,"294,378","277,743","16,635",5.7,4
Bristol County,December,2017,"290,220","278,825","11,395",3.9,3.1
Dukes County,December,2018,"8,865","8,405",460,5.2,2.7
Dukes County,November,2018,"8,750","8,373",377,4.3,2.6
Dukes County,October,2018,"9,541","9,257",284,3,2.9
Dukes County,September,2018,"10,737","10,462",275,2.6,3.2
Dukes County,August,2018,"12,585","12,294",291,2.3,3.5
Dukes County,July,2018,"12,714","12,370",344,2.7,3.9
Dukes County,June,2018,"11,375","10,996",379,3.3,3.9
Dukes County,May,2018,"9,532","9,106",426,4.5,3.3
Dukes County,April,2018,"8,702","8,210",492,5.7,3.3
Dukes County,March,2018,"8,226","7,549",677,8.2,3.8
Dukes County,February,2018,"8,201","7,458",743,9.1,4
Dukes County,January,2018,"8,250","7,528",722,8.8,4
Dukes County,December,2017,"8,464","7,962",502,5.9,3.1
Essex County,December,2018,"433,008","420,989","12,019",2.8,2.7
Essex County,November,2018,"431,741","420,296","11,445",2.7,2.6
Essex County,October,2018,"432,315","419,467","12,848",3,2.9
Essex County,September,2018,"431,557","417,359","14,198",3.3,3.2
Essex County,August,2018,"436,368","420,552","15,816",3.6,3.5
Essex County,July,2018,"439,379","421,934","17,445",4,3.9
Essex County,June,2018,"436,870","419,515","17,355",4,3.9
Essex County,May,2018,"430,595","415,733","14,862",3.5,3.3
Essex County,April,2018,"426,036","411,624","14,412",3.4,3.3
Essex County,March,2018,"423,434","407,011","16,423",3.9,3.8
Essex County,February,2018,"420,022","402,969","17,053",4.1,4
Essex County,January,2018,"414,598","398,011","16,587",4,4
Essex County,December,2017,"412,665","399,564","13,101",3.2,3.1
Franklin County,December,2018,"41,607","40,524","1,083",2.6,2.7
Franklin County,November,2018,"41,248","40,280",968,2.3,2.6
Franklin County,October,2018,"41,259","40,212","1,047",2.5,2.9
Franklin County,September,2018,"41,102","39,967","1,135",2.8,3.2
Franklin County,August,2018,"41,188","39,903","1,285",3.1,3.5
Franklin County,July,2018,"41,441","40,049","1,392",3.4,3.9
Franklin County,June,2018,"41,490","40,041","1,449",3.5,3.9
Franklin County,May,2018,"41,039","39,824","1,215",3,3.3
Franklin County,April,2018,"40,871","39,600","1,271",3.1,3.3
Franklin County,March,2018,"40,655","39,192","1,463",3.6,3.8
