country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014,f1524,f2534,f3544,f4554,f5564,f65,fu
AD,2000,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE,2000,2,4,4,6,5,12,10,NaN,3,16,1,3,0,0,4,NaN
AF,2000,52,228,183,149,129,94,80,NaN,93,414,565,339,205,99,36,NaN
AG,2000,0,0,0,0,0,0,1,NaN,1,1,1,0,0,0,0,NaN
AL,2000,2,19,21,14,24,19,16,NaN,3,11,10,8,8,5,11,NaN
AM,2000,2,152,130,131,63,26,21,NaN,1,24,27,24,8,8,4,NaN
AN,2000,0,0,1,2,0,0,0,NaN,0,0,1,0,0,1,0,NaN
AO,2000,186,999,1003,912,482,312,194,NaN,247,1142,1091,844,417,200,120,NaN
AR,2000,97,278,594,402,419,368,330,NaN,121,544,479,262,230,179,216,NaN
AS,2000,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
AT,2000,1,17,30,59,42,23,41,NaN,1,11,22,12,11,6,22,NaN
AU,2000,3,16,35,25,24,19,49,NaN,0,15,19,12,15,5,14,NaN
AZ,2000,0,9,24,33,42,30,0,NaN,0,3,3,6,3,0,0,NaN
BA,2000,4,56,82,99,66,58,77,NaN,4,30,46,29,29,48,124,NaN
BB,2000,0,0,0,2,0,0,0,NaN,0,0,1,0,0,0,0,NaN
BD,2000,256,3640,5643,5750,4718,3667,2837,NaN,495,3029,3238,2247,1315,778,370,NaN
BE,2000,3,20,57,39,55,32,56,NaN,6,15,15,19,4,13,27,NaN
BF,2000,12,91,274,252,133,68,65,NaN,7,59,128,101,45,38,14,NaN
BG,2000,0,13,16,20,3,9,10,NaN,0,11,14,7,3,4,6,NaN
BH,2000,0,0,3,2,5,3,4,NaN,0,1,2,0,1,1,1,NaN
BI,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BJ,2000,19,277,428,327,213,103,74,NaN,36,239,275,149,76,45,25,NaN
BM,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BN,2000,0,6,4,15,5,7,15,NaN,0,4,6,9,6,3,4,NaN
BO,2000,166,1182,797,518,466,340,366,NaN,191,831,588,334,254,192,233,NaN
BR,2000,1894,7268,11568,11906,8623,5085,4494,NaN,1859,6719,7215,5395,3582,2384,2496,NaN
BS,2000,1,2,7,9,4,3,2,NaN,2,5,7,8,2,3,1,NaN
BT,2000,6,65,41,30,24,12,2,NaN,7,57,34,31,23,3,2,NaN
BW,2000,25,185,605,488,267,135,96,NaN,37,335,469,262,98,57,36,NaN
BY,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BZ,2000,2,5,7,2,6,3,5,NaN,0,2,1,2,4,1,4,NaN
CA,2000,5,34,45,46,41,32,79,NaN,4,33,40,30,25,12,66,NaN
CD,2000,485,4048,5833,4151,2549,1295,602,NaN,718,4422,5146,3309,1724,855,351,NaN
CF,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CH,2000,0,5,18,10,7,5,8,NaN,1,9,12,8,2,1,6,NaN
CI,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CK,2000,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,NaN
CL,2000,6,81,160,198,150,132,126,NaN,10,66,96,70,54,58,83,NaN
CM,2000,41,518,842,584,284,130,75,NaN,63,368,530,293,139,60,33,NaN
CN,2000,1131,19111,29399,25206,25593,21429,21771,NaN,1420,14536,18496,12377,9899,7102,6296,NaN
CO,2000,246,763,1030,963,743,610,746,NaN,194,587,758,523,381,304,510,NaN
