Date,Time,Lat,Lon,Base
6/1/2014,0:00:00,40.7293,-73.992,B02512
6/1/2014,0:01:00,40.7131,-74.0097,B02512
6/1/2014,0:04:00,40.3461,-74.661,B02512
6/1/2014,0:04:00,40.7555,-73.9833,B02512
6/1/2014,0:07:00,40.688,-74.1831,B02512
6/1/2014,0:08:00,40.7152,-73.9917,B02512
6/1/2014,0:08:00,40.7282,-73.991,B02512
6/1/2014,0:08:00,40.3042,-73.9794,B02512
6/1/2014,0:09:00,40.727,-73.9915,B02512
6/1/2014,0:10:00,40.7221,-73.9965,B02512
6/1/2014,0:11:00,40.7153,-74.0146,B02512
6/1/2014,0:15:00,40.6176,-74.0197,B02512
6/1/2014,0:16:00,40.7025,-73.9897,B02512
6/1/2014,0:17:00,40.735,-74.165,B02512
6/1/2014,0:17:00,40.7357,-74.0068,B02512
6/1/2014,0:18:00,40.6904,-73.9572,B02512
6/1/2014,0:19:00,40.7384,-73.9857,B02512
6/1/2014,0:20:00,40.7406,-74.0066,B02512
6/1/2014,0:21:00,40.7535,-73.9813,B02512
6/1/2014,0:21:00,40.722,-73.9804,B02512
6/1/2014,0:23:00,40.8095,-74.1037,B02512
6/1/2014,0:23:00,40.7482,-73.9745,B02512
6/1/2014,0:30:00,40.7043,-73.933,B02512
6/1/2014,0:32:00,40.7298,-73.9898,B02512
6/1/2014,0:32:00,40.7397,-74.0053,B02512
6/1/2014,0:34:00,40.7607,-74.0025,B02512
6/1/2014,0:37:00,40.7578,-73.9703,B02512
6/1/2014,0:39:00,40.7349,-73.985,B02512
6/1/2014,0:39:00,40.7133,-73.9775,B02512
6/1/2014,0:40:00,40.7273,-73.9936,B02512
6/1/2014,0:40:00,40.761,-73.6035,B02512
6/1/2014,0:44:00,40.7401,-73.9901,B02512
6/1/2014,0:46:00,40.7261,-73.9835,B02512
6/1/2014,0:48:00,40.7406,-74.0086,B02512
6/1/2014,0:49:00,40.6975,-73.9373,B02512
6/1/2014,0:53:00,40.7428,-73.9806,B02512
6/1/2014,0:55:00,40.7667,-74.2016,B02512
6/1/2014,0:59:00,40.7053,-73.9394,B02512
6/1/2014,0:59:00,40.7181,-73.6795,B02512
6/1/2014,1:00:00,40.7431,-73.9848,B02512
6/1/2014,1:00:00,40.7395,-74.0021,B02512
6/1/2014,1:01:00,40.7816,-73.7183,B02512
6/1/2014,1:01:00,40.8192,-73.9019,B02512
6/1/2014,1:02:00,40.7335,-74.0037,B02512
6/1/2014,1:04:00,40.7404,-74.0083,B02512
6/1/2014,1:09:00,40.796,-74.4726,B02512
6/1/2014,1:14:00,40.7397,-74.0081,B02512
6/1/2014,1:15:00,40.7233,-73.9855,B02512
6/1/2014,1:18:00,40.7535,-73.9851,B02512
6/1/2014,1:25:00,40.7978,-74.4777,B02512
6/1/2014,1:32:00,40.299,-73.9811,B02512
6/1/2014,1:37:00,40.7343,-74.166,B02512
6/1/2014,1:38:00,40.7392,-73.9953,B02512
6/1/2014,1:40:00,41.0169,-73.7182,B02512
6/1/2014,1:41:00,40.7196,-73.9995,B02512
6/1/2014,1:52:00,40.7398,-74.0054,B02512
6/1/2014,1:56:00,40.7295,-74.0084,B02512
6/1/2014,2:03:00,40.7408,-74.0079,B02512
6/1/2014,2:04:00,40.7381,-74.0089,B02512
6/1/2014,2:05:00,40.742,-74.0077,B02512
6/1/2014,2:15:00,40.6736,-73.992,B02512
6/1/2014,2:19:00,40.7195,-73.9887,B02512
6/1/2014,2:21:00,40.7144,-73.9651,B02512
6/1/2014,2:26:00,40.7621,-73.9747,B02512
6/1/2014,2:27:00,40.74,-74.0055,B02512
6/1/2014,2:32:00,40.762,-73.9936,B02512
6/1/2014,2:40:00,40.7175,-74.0055,B02512
6/1/2014,2:41:00,40.7521,-73.9954,B02512
6/1/2014,2:47:00,40.7222,-73.9588,B02512
6/1/2014,2:50:00,40.719,-73.9888,B02512
6/1/2014,2:51:00,40.6564,-73.6453,B02512
6/1/2014,2:53:00,40.7261,-73.9918,B02512
6/1/2014,2:54:00,40.7191,-73.9892,B02512
6/1/2014,2:58:00,40.7286,-73.9954,B02512
6/1/2014,3:10:00,40.7615,-73.975,B02512
6/1/2014,3:11:00,40.7278,-73.9991,B02512
6/1/2014,3:14:00,40.7503,-73.9839,B02512
6/1/2014,3:19:00,40.7389,-74.0081,B02512
6/1/2014,3:23:00,40.775,-73.9907,B02512
6/1/2014,3:32:00,40.7054,-74.0072,B02512
6/1/2014,3:35:00,40.7303,-74.0025,B02512
6/1/2014,3:36:00,40.7347,-73.9924,B02512
6/1/2014,4:03:00,40.7224,-73.9878,B02512
6/1/2014,4:51:00,40.6982,-73.462,B02512
6/1/2014,4:54:00,40.6449,-73.7818,B02512
6/1/2014,4:56:00,40.645,-73.782,B02512
6/1/2014,5:07:00,40.7699,-73.9843,B02512
6/1/2014,5:10:00,40.7372,-73.9967,B02512
6/1/2014,5:14:00,40.6448,-73.7826,B02512
6/1/2014,5:48:00,40.7228,-74.0019,B02512
6/1/2014,6:19:00,40.736,-73.9792,B02512
6/1/2014,6:21:00,40.7536,-73.9915,B02512
6/1/2014,6:24:00,40.7615,-73.9881,B02512
6/1/2014,6:25:00,40.8525,-73.8281,B02512
6/1/2014,6:27:00,40.7554,-73.9738,B02512
6/1/2014,6:35:00,40.7543,-73.9817,B02512
6/1/2014,6:37:00,40.7751,-73.9633,B02512
6/1/2014,6:46:00,40.6952,-74.1784,B02512
6/1/2014,6:51:00,40.7621,-73.9817,B02512
